code,FR,ZH,IT,DE,EN,PT,AR,ES,RU,JA
DASGEFRORENEHERZ,Le coeur glacé,冰冷的心,Das Gefrorene Herz,Das gefrorene Herz,The Frozen Heart,Das Gefrorene Herz,Le coeur glacé,Corazón congelado,Лед в сердце,The Frozen Heart
ACHTUNGFERTIGWK!,"Achtung, fertig, WK!",冲吧，WK！,"Achtung, fertig, WK!","Achtung, fertig, WK!","Ready, Steady, Ommm!","Achtung, fertig, WK!","Achtung, fertig, WK!","¡En sus marcas, listos, Ommm!",Всем строиться или Армейский пирог - 2,"Ready, Steady, Ommm!"
BROTUNDSTEINE,Du pain et des pierres,面包和石头,Brot und Steine,Brot und Steine,Bread and Stones,Brot und Steine,Brot und Steine,Pan y piedras,Хлеб и камни,Bread and Stones
DASBOOTISTVOLL,La barque est pleine,船满员了,La barca è piena,Das Boot ist voll,The Boat is Full,Das Boot ist voll,Das Boot ist voll,El bote está lleno,Места в лодке больше нет,The Boat is Full
KOMIKER,Komiker,喜剧演员,Komiker,Komiker,Comedians,Comediantes,Komiker,Los comediantes,Комедиант,Comedians
DERSCHWARZETANNER,Tanner l'irréductible,黑塔纳,Der Schwarze Tanner,Der schwarze Tanner,Tanner the tenacious,Der Schwarze Tanner,Der Schwarze Tanner,"Tanner, el irreductible",Битва за урожай или Черный Таннер,Der schwarze Tanner
MANIMATTERWARUMSYTDIRSOTRUURIG?,Mani Matter – Pourquoi êtes-vous si tristes?,马尼·马特-你为什么这么忧伤？,Mani Matter – Warum syt dir so truurig?,Mani Matter – Warum syt dir so truurig?,Mani Matter - Why are you so sad?,Mani Matter – Warum syt dir so truurig?,Mani Matter – Warum syt dir so truurig?,Mani Matter - ¿Por qué tan tristes?,Мани Маттер: почему вы так печальны?,Mani Matter – Warum syt dir so truurig?
SENNENTUNTSCHI,Sennentuntschi,牧人的性玩偶,Sennentuntschi,Sennentuntschi,Sennentuntschi: Curse of the Alps,Sennentuntschi,Sennentuntschi,Sennentuntschi,Пастушья кукла,Sennentuntschi: Curse of the Alps
DIESCHWEIZERMACHER.synopsis,Quel fromage met-on dans la fondue? Faites-vous du ski? Une comédie satirique sur les épreuves auxquelles sont soumis les candidats à la naturalisation dans la Suisse des années 70.,奶酪火锅里放什么奶酪？你滑雪吗？一部关于70年代外国人加入瑞士籍申请审核手续的讽刺喜剧。,Che formaggio si mette nella fondue? Pratica lo sci? Una commedia satirica racconta le peripezie con le quali sono confrontati i candidati alla naturalizzazione nella Svizzera degli anni Settanta.,"Welchen Käse nimmt man für Fondue? Können Sie Skifahren? Eine satirische Komödie zeigt Schicksalsschläge und Beamtentum, mit denen Einbürgerungswillige in der Schweiz der 1970er-Jahre konfrontiert werden.",“What kind of cheese do you use in fondue?” “Do you ski?” A satirical comedy about the ordeal of candidates for citizenship in 1970s Switzerland.,Qual queijo é utilizado no fondue? Você esquia? A comédia satírica narra as vicissitudes enfrentadas pelos candidatos à naturalização na Suíça dos anos 1970.,ما هي أصناف الأجبان التي تُستخدم في أكلة الفوندو؟ هل تمارس رياضة التزلج؟ كوميديا ساخرة تتناول الإختبارات التي يخضع لها المترشحون للحصول على الجنسية في سويسرا خلال سبعينيات القرن العشرين. ,"¿Qué tipo de queso se usa en la fondue? ¿Esquía usted? Una comedia satírica sobre las exigencias por las que debían pasar los candidatos a la naturalización en Suiza, en la década de los 70.","Кинофильм «Как стать швейцарцем» является без сомнения самым популярным швейцарским фильмом всех времен. Затронув нерв времени и поставив вопрос, который актуален для любой страны и даже семьи (как относиться к пришлым, с какого момента и на основе каких критериев «чужой» становится «своим»), эта кинокартина остается актуальной и десятки лет спустя после премьеры.",“What kind of cheese do you use in fondue?” “Do you ski?” A satirical comedy about the ordeal of candidates for citizenship in 1970s Switzerland.
ACHTUNGFERTIGCHARLIE!.synopsis,Antonio Carrera va épouser la fille d’un mafioso quand la Suisse le rappelle à ses obligations militaires. Il va alors échafauder tous les plans possibles pour se faire mettre à la porte de l’armée. Comédie de bidasses aux ficelles aussi grosses qu’efficaces.,安东尼奥·卡雷拉(Antonio Carrera)在正要迎娶一个黑手党的女儿之时，接到了义务入伍通知书。他于是想尽一切办法想要被军队开除。一部爆笑喜剧。,"Antonio Carrera sta per sposare la figlia di un mafioso, quando l’esercito viene a prelevarlo.",Antonio Carrera steht kurz vor der Hochzeit mit der Tochter eines Mafiosos. Doch dann wird er zum Militärdienst abgezogen.,"Antonio Carrera is about to marry the daughter of a mafioso, when he gets called up for military service. The raw recruit tries every conceivable plan to get himself thrown out of the Swiss army.",Antonio Carrera vai se casar com a filha de um mafioso quando o exército bem buscá-lo.,فيما كان أنطونيو كارّارا يستعد للزواج بابنة أحد أفراد المافيا، دعته سويسرا إلى أداء واجباته العسكرية. عندها قرر استخدام كل الحيل والخطط المُمكنة لتسريحه من الجيش. كوميديا عن الخدمة العسكرية الإجبارية وسبل التحايُل عليها.  ,"Antonio Carrera se casará con la hija de un mafioso, pero justo antes, Suiza lo llama a cumplir sus obligaciones militares. Comedia","Что делать, когда тебя отрывают от любимой невесты и из-под венца отправляют в армию, постигать основы военной службы в типичной швейцарской учебке? Очень просто: надо вести себя так, чтобы начальники, отчаявшись сделать из тебя солдата, приняли решения о твоем комиссовании и направлении домой «по причине беспробудного идиотизма». План был, как всегда, гениален, если бы не капитан Франц Райкер (Franz Reiker, в исполнении выдающегося швейцарского комика Марко Рима), который «не знает слов любви» и вообще шутить не расположен. ","Antonio Carrera is about to marry the daughter of a mafioso, when he gets called up for military service. The raw recruit tries every conceivable plan to get himself thrown out of the Swiss army."
DIEHERBSTZEITLOSEN.synopsis,"Dans un village de l’Emmental, quatre dames d’âge respectable décident d’ouvrir un magasin de lingerie fine. Ce qui crée pas mal d’émois dans une communauté plutôt conservatrice.",艾门塔尔地区的一个小山村里，四位年事已高的老奶奶决定开一间精品手工内衣店，一下儿让保守的村落炸开了锅。,"In un villaggio conservatore dell’Emmental, quattro anziane decidono di aprire un negozio di biancheria intima di lusso, creando non poco scompiglio nella comunità.","In einem konservativen Emmentaler Dorf entscheiden sich vier ältere Frauen, einen Laden für Luxus-Unterwäsche zu eröffnen, was zu Unruhe und Verwicklungen im Dorf führt.","Four elderly ladies decide to open a luxury lingerie store, raising eyebrows in their conservative small town in the Emmental.","Uma aldeia conservadora no Emmental , quatro idosos decidem abrir uma loja de lingerie de luxo, criando uma grande celeuma na comunidade.",في إحدى القرى الواقعة في منطقة إيمينتال الريفية، قررت أربع سيدات في سن متقدم افتتاح متجر لبيع الملابس الداخلية النسائية، ما أثار بعض الهرج والمرج في صفوف سكان المنطقة الميّالين في الأغلب إلى المحافظة.  ,"En un pueblo del Emmental, cuatro mujeres abren una tienda de lencería fina, lo que resulta un escándalo para los pobladores.  ","«Неувядаемые», 2006 г, фильм Беттины Оберли (Bettina Oberli) в жанре трагикомедии на основе сценария, написанного Б. Оберли вместе с писательницей Сабиной Поххаммер (Sabine Pochhammer). После смерти своего мужа пожилая владелица небольшого магазинчика в глухой швейцарской провинции решает, что ей самой еще рано готовится к переселению на тот свет, а потому, при поддержке своих товарок-одногодок, она открывает в деревне магазин сексуального женского белья.","Four elderly ladies decide to open a luxury lingerie store, raising eyebrows in their conservative small town in the Emmental."
MEINNAMEISTEUGEN.synopsis,"Tiré d’un livre pour enfants, le film raconte la fugue de quatre garçons à la recherche d’un trésor. Une aventure qui met en lumière la valeur de l’amitié et les relations difficiles entre enfants et parents.",一部由儿童读物改编的电影，四个男孩子为了寻宝而逃学的冒险故事。电影引起观众对友情以及家长与子女复杂关系的思索。,"Tratto da un libro per bambini, il film racconta la fuga di quattro ragazzi alla ricerca di un tesoro. Un’avventura che mette in luce il valore dell’amicizia e il difficile rapporto tra figli e genitori.","Der Film zeigt einige Episoden aus dem gleichnamigen Kinderbuch. Die vier Helden gehen auf Schatzsuche. Ein Abenteuer, das den Wert der Freundschaft und die schwierige Beziehung zwischen Kindern und Eltern zeigt.","Adapted from a children’s book, this film recounts the adventure of four young boys searching for a hidden treasure. It is all about friendship and the sometimes rocky relationships of parents and children.","Inspirado em um livro infantil, o filme conta a fuga de quatro meninos em busca do tesouro. Uma aventura que destaca o valor da amizade e as relações difíceis entre pais e filhos.",يروي الشريط المقتبس من كتاب للأطفال قصة فرار أربعة أولاد بحثا عن كنز. مغامرة تسلط الضوء على قيمة الصداقة وعلى العلاقات الصعبة بين الأبناء والآباء. ,"La historia, surgida de un libro infantil, se centra en la fuga de cuatro chicos en busca de un tesoro. Una aventura que pone de manifiesto el valor de la amistad y las relaciones difíciles entre padres e hijos. ","Фильм «Меня зовут Ойген» был снят в 2005 году швейцарским режиссером Михаэлем Штайнером (Michael Steiner) на основе классического одноименного романа Клауса Шеделина (Klaus Schädelin). В центре фильма четверка неразлучных друзей проказников, одному из которых скоро предстоит отправиться учиться в интернат. А в это время им в руки попадает таинственная карта, на которой отмечен клад…","Adapted from a children’s book, this film recounts the adventure of four young boys searching for a hidden treasure. It is all about friendship and the sometimes rocky relationships of parents and children."
LESPETITESFUGUES.synopsis,"Cette fable bucolique raconte comment un simple vélomoteur permet à un vieux valet de ferme de s’envoler littéralement vers la liberté. Salué par la critique de l’époque comme «euphorique, impertinent et délicieusement libérateur».",一辆助力车让一位老农夫尝到了真正的自由滋味。这部电影广获当年影评人的好评，被誉为“令人欣喜、有时代感、解放思想的好电影。”,"Emblema del Nuovo cinema svizzero, racconta la sete di libertà di Pipe, bracciante in una fattoria. La critica di allora lo aveva definito “il film più euforico, impertinente e deliziosamente liberatore” della stagione.","Ein Symbol des neuen Schweizer Kinos. Der Bauernknecht Pipe sucht auf seinem Moped die Freiheit. Die Kritik bezeichnete den Film als ""euphorisch, frech und herrlich befreiend"".","An outstanding example of New Swiss cinema, this film tells of an old farm hand and his longing for freedom, and how he takes off on a moped. The critics called it a “euphoric, cheeky and liberating film”.","Obra clássica do Cinema Novo Suíço conta a história da liberdade de Pipe, um trabalhador em uma fazenda. Os críticos da época consideraram-no ""o filme mais eufórico, atrevido e libertador"" da temporada.","يروي هذا الشريط الذي يُعتبر من علامات السينما الجديدة السويسرية تعطش ""بيييه"" العامل في إحدى الضيعات إلى الحرية. آنذاك الفترة، اعتبره النقاد ""الشريط الأكثر بهجة ووقاحة وتحررا"" للموسم. ","Símbolo del llamado ‘Nuevo Cine Suizo’, esta película describe como el labriego Pipe, el protagonista, alcanza su ansiado sueño de libertad. La crítica calificó este filme como “eufórico, impertinente y deliciosamente liberador”.","Снят в 1979 году режиссером Ивом Ирсаном (Yves Yersin). В центре образ пожилого крестьянина Пипе (Pipe), который покупает себе мопед, учится на нем ездить, выигрывает мотокросс и на премию покупает фотокамеру, при помощи которой он начинает изучать окружающий мир, такой, казалось бы, знакомый. ","An outstanding example of New Swiss cinema, this film tells of an old farm hand and his longing for freedom, and how he takes off on a moped. The critics called it a “euphoric, cheeky and liberating film”."
SCHELLENURSLI.synopsis,"Adapté d’une fable pour enfants - traduite en neuf langues -, le film raconte la quête du petit Ursli dans les montagnes de l’Engadine, à la recherche de la cloche qui lui permettra d’être le roi de la fête du printemps.",一部由被译成9种语言的儿童寓言故事改编的电影：小乌尔斯在隆冬的季节去白雪皑皑的恩加丁山中寻找最大的牛铃，以实现自己成为“迎春节”英雄的故事。,"Tratto da una fiaba per bambini - tradotta in nove lingue - il film racconta le avventure del piccolo Ursli tra le montagne svizzere, alla ricerca di un campanaccio.","Nach dem in neun Sprachen übersetzten Kinderbuch. Der kleine Ursli geht auf der Alp auf die Suche nach der grössten Kuhglocke, damit er den Umzug im Dorf anführen kann.","Adapted from a children’s book that was translated into nine languages, this film tells the story of young Ursli, who longs to be the star of the Spring festival in his Engadine village, and his search for a suitable cow-bell up in the Alps.",Inspirado em um conto infantil - traduzido em nove línguas - o filme narra as aventuras do pequeno Ursli nas montanhas suíças em busca de um sino.,يروي الشريط المقتبس من رواية للأطفال تُرجمت إلى تسع لغات رحلة الطفل أورسلي في جبال منطقة إينغادين بحثا عن الجرس الذي سيسمح له بأن يكون الملك في مناسبة الإحتفال بالربيع. ,"Adaptación de una fábula infantil, traducida en nueve idiomas, esta producción narra la historia del niño Urs, un habitante de la zona rural de Engadina, en busca de la campana que le permitirá ser el primero en la fiesta de primavera de su pueblo. ","Экранизация культовой швейцарской детской книжки о подростке, поставившем перед собой цель во что бы то ни стало добыть из высокогорной избушки пастуха самый большой коровий колокольчик в деревне, чтобы встать во главе шествия, традиционно устраиваемого в кантоне Граубюнден на празднике прощания с зимой «Chalandamarz». Классический сюжет взросления и социальной инициации, реализованный на швейцарских реалиях. ","Adapted from a children’s book that was translated into nine languages, this film tells the story of young Ursli, who longs to be the star of the Spring festival in his Engadine village, and his search for a suitable cow-bell up in the Alps."
GROUNDING–DIELETZTENTAGEDERSWISSAIR.synopsis,Les derniers jours de la compagnie aérienne Swissair et les manœuvres en coulisses qui ont conduit au grounding du 2 octobre 2001. Un thriller économico-politique efficace sur une catastrophe qui a traumatisé le pays.,瑞士航空公司破产前的最后几天，以及那几天公司内部发生的、导致2001年10月2日停飞事件的种种因果。一部扣人心弦的经济-政治悬疑片，再现了当年撼动瑞士的经济灾难。,"Gli ultimi giorni della Swissair, il famoso grounding del 2 ottobre 2001 e tutto ciò che ha condotto a questa catastrofe.","Die letzten Tage der Traditions-Airline Swissair, das Grounding vom 2. Oktober 2001 und warum es zu dieser wirtschaftlichen Katastrophe kam.",The last days of Swissair – the notorious “grounding” of the national carrier in October 2001. The film shows what led up to an economic and political disaster that shook the nation.,Os últimos dias da companhia aérea Swissair antes da decretação de falência em 2 de Outubro de 2001.,الأيام الأخيرة لشركة الخطوط الجوية سويس اير والمناورات التي دارت في الكواليس وأدت إلى اتخاذ قرار بوقف جميع الرحلات يوم 2 أكتوبر 2001. شريط مثير وناجع امتزجت فيه السياسة بالإقتصاد حول كارثة صادمة للبلد. ,"Los últimos días de la empresa aérea suiza Swissair y las maniobras entre vestidores que condujeron al debacle y cierre de la aerolínea, el 2 de octubre de 2001, una catástrofe para el orgullo económico y político de los suizos.","Как получилось, что швейцарский национальный авиаперевозчик, компания «Свиссэйр», неожиданно оказался банкротом? Кто виноват в этом: банкиры, политики, руководство самой компании? Необычный для швейцарского кино самый настоящий экономико-политический триллер-блокбастер, не отпускающий до самого конца. ",The last days of Swissair – the notorious “grounding” of the national carrier in October 2001. The film shows what led up to an economic and political disaster that shook the nation.
EINSCHWEIZERNAMENSNÖTZLI.synopsis,"Nötzli, petit comptable coincé travaille depuis 26 ans dans la même entreprise de Berlin. Un jour, il reçoit une promotion inattendue suite à un quiproquo. Un énorme succès pour l’acteur Walter Roderer, très populaire en Suisse alémanique et en Allemagne.",诺茨理是一位平平庸庸的小会计，为一家柏林的公司工作了26年。突然有一天，因为误会，他意外获得提升... 该影片让主演Walter Roderer名声大噪，成为深受瑞士德语区和德国观众喜爱的演员。 ,"Tra le produzioni svizzere di maggior successo, questa commedia ha come protagonista il famoso attore svizzero-tedesco Walter Roderer, che ricopre il ruolo di un contabile svizzero impiegato da 26 anni in Germania.",Komödie mit dem berühmten Schauspieler und Kabarettisten Walter Roderer. Der unscheinbare Buchhalter Nötzli wird durch Zufälle und Verwicklungen zum Chef eines Chemiewerks in Berlin.,"One of the most successful Swiss films, this comedy stars popular Swiss-German actor Walter Roderer as a Swiss bookkeeper who has worked for years in a German company. He finds himself promoted to corporate executive due to a mixup.","Um dos bem sucedidos filmes suíços: comédia estrelada pelo famoso ator suíço-alemão Walter Roderer, que interpreta o papel de um contador suíço empregada por 26 anos na Alemanha.",يعمل نوتزلي، المحاسب الصغير منذ 26 عاما في نفس الشركة في برلين. في أحد الأيام، يتحصل على ترقية غير منتظرة نتيجة لسوء فهم غير مقصود. الشريط كان نجاحا باهرا للمثل فالتر روديرير، الذي يحظى بشعبية كبيرة في الأنحاء السويسرية المتحدثة بالألمانية وفي ألمانيا.,"Comedia con el conocido actor Walter Rodener, que protagoniza a Nötzli, un contador desapercibido durante sus 26 años de trabajo en fábrica en Berlín. Un día se convierte en el jefe de la empresa. Este filme ha sido una de las comedias suizas de mayor éxito.","Вот уже 26 лет скромный бухгалтер Йозеф Нётцли (Josef Nötzli) работает в одной и той же компании. Случайно попавшее ему в руки рекомендательное письмо министра, предназначавшееся совсем для другого сотрудника, неожиданно возносит его вверх по карьерной лестнице. Что сделает маленький швейцарский человек со случайно доставшейся ему властью? ","One of the most successful Swiss films, this comedy stars popular Swiss-German actor Walter Roderer as a Swiss bookkeeper who has worked for years in a German company. He finds himself promoted to corporate executive due to a mixup."
ERNSTFALLINHAVANNA.synopsis,Un incident tragicomique secoue l'ambassade de Suisse à La Havane. Un épisode qui menace de créer une nouvelle crise diplomatique entre Cuba et les États-Unis.,哈瓦那的瑞士使馆被一场让人啼笑皆非的事故闹得鸡犬不宁，差一点儿导致古巴-美国面临新的外交危机。,Un incidente tragicomico fa tremare l’ambasciata svizzera a L'Avana. Un episodio che rischia di creare una nuova crisi diplomatica tra Cuba e gli Stati Uniti.,Ein tragikomischer Vorfall bringt die Schweizer Botschaft in Havanna in Bedrängnis. Die Episode könnte zu einer neuen diplomatischen Krise zwischen Kuba und den USA führen.,"Comedy drama set in the Swiss embassy in Havana, where events threaten to cause a new diplomatic crisis between Cuba and the US.",Um incidente tragicômico sacode a Embaixada suíça em Havana e ameaça criar uma nova crise diplomática entre Cuba e os Estados Unidos.,حادثة تراجيدية – كوميدية تهز سفارة سويسرا في لاهافانا، وواقعة تهدد باندلاع أزمة دبلوماسية جديدة بين كوبا والولايات المتحدة. ,Un incidente tragicómico sacude a la Embajada de Suiza en La Habana. Un episodio que amenaza con provocar una nueva crisis diplomática entre Cuba y los Estados Unidos. ,"Штефан Бальзигер (Stefan Balsiger) работает в консульском отделе швейцарского посольства на Кубе и занимается скучными визовыми и пенсионными делами. Его начальник, посол Эрнст Мюллер (Ernst O. Müller), уезжает на ежегодное совещание послов в Берн. Пользуясь моментом, Штефан Бальзигер выдает себя, разговаривая с журналистской из Швейцарии Беа Грабер (Bea Graber), за посла, в то время как на его горизонте начинают сгущаться тучи: грядет визит в Гавану американского сенатора, и это в ситуации, когда Швейцария представляет на Кубе интересы Вашингтона. Неприятности запрограммированы. ","Comedy drama set in the Swiss embassy in Havana, where events threaten to cause a new diplomatic crisis between Cuba and the US."
MORETHANHONEY.synopsis,"Que se passerait-il si les abeilles disparaissaient? Un documentaire aux images saisissantes pose la question de l’avenir de ces insectes, qui engage rien moins que celui de la planète toute entière.",如果没有蜜蜂，世界将会怎样？一部画面引人入胜的纪录片发起了人们对这一昆虫命运的思考，而它们的命运事关整个行星的未来。,Cosa accadrebbe se le api dovessero scomparire? Un documentario s’interroga sul futuro di questo insetto e del nostro pianeta.,"Was würde geschehen, wenn die Bienen verschwinden würden? Der erfolgreichste Schweizer Dokumentarfilm geht dieser Frage in zahlreichen Ländern nach.",What would happen if there were no more bees? This documentary probes the future of the bee and what it means for our planet.,O que acontece se as abelhas desaparecessem? O documentário interroga sobre o futuro do inseto e do nosso planeta.,ما الذي قد يحدث لو اختفى النجل من حياتنا؟ شريط وثائقي تميّز بصوره المدهشة ويطرح مسألة مستقبل هذه الحشرات النافعة، التي يتوقف عليها مستقبل الكرة الأرضية بأكملها، لا أقل ولا أكثر.,¿Qué ocurrirá si las abejas desaparecen? Documental que cuestiona el futuro de estos insectos y su influencia en el porvenir del mundo. ,"«Больше, чем мед» («More than Honey»), документальный фильм швейцарского режиссера Маркуса Имхофа (Markus Imhoof), снятый в 2012 году и посвященный проблеме вымирания пчел по всему свету, от Калифорнии до Китая. ",What would happen if there were no more bees? This documentary probes the future of the bee and what it means for our planet.
HÖHENFEUER.synopsis,"Un film lent, presque silencieux et passablement dérangeant, aux images fortes, qui explore les tourments d’un amour impossible entre un frère sourd-muet et sa sœur, livrés à eux-mêmes dans une ferme isolée de Suisse centrale.",一部节奏缓慢、寂静异常、时常让人困惑、画面震撼的影片。讲述了在一个瑞士中部与世隔绝的农场里，一位聋哑少年和他的姐姐之间产生的没有结果的爱恋故事。,Un cinema silenzioso e provocatore che racconta di un amore tra fratello e sorella e di una lotta tra modernità e tradizione. Probabilmente il film più emblematico di Fredi M. Murer e una delle opere svizzere più forti.,Ein stiller und provokativer Film über Geschwisterliebe und den Kampf zwischen Moderne und Tradition auf der Alp. Vermutlich das stärkste Werk von Fredi M. Murer.,An almost silent but disturbing film about the love of a deaf-mute brother and his sister and the struggle between modernity and tradition in an isolated farm in the Alps. The most important film by Swiss director Fredi M. Murer.,Um filme mudo e provocante que conta a história de um amor entre irmão e irmã e de uma luta entre modernidade e a tradição. Provavelmente um dos filmes mais emblemáticos de Fredi M. Murer.,شريط بوتيرة بطيئة، شبه صامت، ومزعج إلى حد ما، يتميز بصور قوية ويستكشف عذابات حبّ مستحيل بين أخ أصم وأبكم وشقيقته، المتروكيْن لنفسيهما في ضيعة معزولة وسط سويسرا.,"Filme silencioso y provocador que habla de un amor entre hermanos y de una lucha entre la modernidad y la tradición. Probablemente la producción más polémica de Fredi M. Murer, y una de las obras suizas más fuertes.","«Огни на вершинах» («Höhenfeuer») – снятый в 1985 году фильм швейцарского режиссера Фреди Мурера (Fredi M. Murer), несколько раз избиравшийся во время опросов «лучшим швейцарским фильмом всех времен». Внимательная и неторопливая камера следует за швейцарской семьей, живущей в отдаленном горном регионе Швейцарии.",An almost silent but disturbing film about the love of a deaf-mute brother and his sister and the struggle between modernity and tradition in an isolated farm in the Alps. The most important film by Swiss director Fredi M. Murer.
DERVERDINGBUB.synopsis,"Un chapitre sombre de l’histoire suisse: entre 1880 et 1950, des milliers d’enfants ont été arrachés à des parents alors jugés incapables de les élever pour être placés dans des familles paysannes, où on les traitait parfois comme des esclaves.",瑞士历史的污点：1880至1950年间，成千上万的儿童因父母被认定没有抚养能力而被安置到农家，成为苦力，有的甚至过着奴隶般的生活。,"Il film ripercorre un capitolo buio della storia svizzera: migliaia di bambini strappati ai genitori e collocati in famiglie adottive, dove spesso venivano utilizzati come “schiavi”.","Der Film greift ein düsteres Kapitel der Schweizer Geschichte auf: Tausende Kinder wurden ihren Eltern weggenommen und bei Pflegefamilien untergebracht, wo sie oft wie Sklaven behandelt wurden.","A film about one of the darkest chapters in modern Swiss history. Between 1880 and 1950, thousands of children were taken away from their parents and placed in host families where they were often used as slave labour.","O filme traça um capítulo negro da história da Suíça: milhares de crianças tirada dos pais e colocadas em lares adotivos, onde foram usados frequentemente como ""escravos"".",فصل مظلم من التاريخ السويسري: ما بين عامي 1880 و1950 تم انتزاع آلاف الأطفال من آباء آعتُبروا آنذاك غير قادرين على رعايتهم وتربيتهم وإيداعهم فيما بعد لدى عائلات قروية، تعاملت معهم في بعض الحالات كالعبيد. ,"Un capítulo sombrío en la historia suiza: entre 1880 y 1950, miles de niños fueron arrancados del seno familiar, cuando sus padres fueron juzgados como incapaces de criarlos. Estos menores fueron dirigidos a familias paisanas, cuyo trato rozó modos de la esclavitud. ","«Приемный фильм» («Der Verdingbub»), художественный фильм режиссера Маркуса Имбодена (Markus Imboden), снятый в 2011 году. Действие фильма происходит в 1950-х гг. в регионе Эмменталь, кантон Берн, в его центре судьбы двух крестьянских детей, отданных своими нищими родителями «в люди». ","A film about one of the darkest chapters in modern Swiss history. Between 1880 and 1950, thousands of children were taken away from their parents and placed in host families where they were often used as slave labour."
