code,FR,IT,DE,EN,PT,AR,ES,RU,JA,ZH,Titre,
DASBOOTISTVOLL,La barque est pleine,La barca è piena,,The Boat is Full,,,El bote está lleno,,,,DAS BOOT IST VOLL,Das Boot ist voll
KOMIKER,Komiker,Komiker,,Comedians,,,,,,,KOMIKER,Komiker
DERSCHWARZETANNER,Tanner l'irréductible,Der Schwarze Tanner,,,,,,,,,DER SCHWARZE TANNER,Der Schwarze Tanner
MANIMATTERWARUMSYTDIRSOTRUURIG?,Mani Matter – Pourquoi êtes-vous si tristes?,Mani Matter – Warum syt dir so truurig?,,,,,,,,,"MANI MATTER, WARUM SYT DIR SO TRUURIG?",Mani Matter – Warum syt dir so truurig?
SENNENTUNTSCHI,Sennentuntschi,Sennentuntschi,,Sennentuntschi: Curse of the Alps,,,,,,,SENNENTUNTSCHI,Sennentuntschi
JONASQUIAURA25ANSENLAN2000,Jonas qui aura 25 ans en l'an 2000,Jonas che avrà 20 anni nel 2000,"Jonas, der im Jahre 2000 25 Jahre alt sein wird",Jonah Who Will Be 25 in the Year 2000,Jonas Que Terá Vinte e Cinco Anos no Ano 2000,,"Jonás, que cumplirá los 25 años en el año 2000",,,,JONAS QUI AURA 25 ANS EN L'AN 2000,Jonas qui aura 25 ans en l'an 2000
DIESCHWEIZERMACHER.synopsis,Fondue au fromage que vous mettez dans? Les skieurs? Une comédie satirique raconte les vicissitudes avec laquelle nous avons comparé les candidats à la naturalisation en Suisse années soixante-dix.,Che formaggio si mette nella fondue? Pratica lo sci? Una commedia satirica racconta le peripezie con le quali sono confrontati i candidati alla naturalizzazione nella Svizzera degli anni Settanta.,,,,,,,,,,
ACHTUNGFERTIGCHARLIE!.synopsis,"Antonio Carrera va épouser la fille d'un gangster, quand l'armée est l'obtenir.","Antonio Carrera sta per sposare la figlia di un mafioso, quando l’esercito viene a prelevarlo.",,,,,,,,,,
DIEHERBSTZEITLOSEN.synopsis,"Dans un village conservateur Emmental, quatre personnes âgées décident d'ouvrir une boutique de lingerie de luxe, créant tout un émoi dans la communauté.","In un villaggio conservatore dell’Emmental, quattro anziane decidono di aprire un negozio di biancheria intima di lusso, creando non poco scompiglio nella comunità.",,,,,,,,,,
MEINNAMEISTEUGEN.synopsis,"Tiré du livre pour enfants, le film raconte l'évasion de quatre jeunes à la recherche d'un trésor. Une aventure qui met en évidence la valeur de l'amitié et les relations difficiles entre parents et enfants.","Tratto da un libro per bambini, il film racconta la fuga di quattro ragazzi alla ricerca di un tesoro. Un’avventura che mette in luce il valore dell’amicizia e il difficile rapporto tra figli e genitori.",,,,,,,,,,
LESPETITESFUGUES.synopsis,"Emblème du Nouveau cinéma suisse, raconte la soif de liberté de Pipe, un ouvrier sur une ferme. La critique d'alors l'a décrit comme ""le film plus euphorique, impertinent et délicieusement libérateur"" de la saison.","Emblema del Nuovo cinema svizzero, racconta la sete di libertà di Pipe, bracciante in una fattoria. La critica di allora lo aveva definito “il film più euforico, impertinente e deliziosamente liberatore” della stagione.",,,,,,,,,,
SCHELLENURSLI.synopsis,"Extrait de conte pour enfants - traduit en neuf langues - le film relate les aventures du petit Ursli dans les montagnes suisses, à la recherche d'une clochette.","Tratto da una fiaba per bambini - tradotta in nove lingue - il film racconta le avventure del piccolo Ursli tra le montagne svizzere, alla ricerca di un campanaccio.",,,,,,,,,,
HEIDI.synopsis,"La forte présence de Bruno Ganz dans le rôle du grand-père de Heidi, la nouvelle adaptation cinématographique du célèbre conte de fées suisse enregistrée en quelques mois plus d'un million de chiffre d'affaires en Autriche et en Allemagne.","Forte della presenza di Bruno Ganz, nei panni del nonno di Heidi, il nuovo adattamento cinematografico della famosa fiaba elvetica ha registrato in pochi mesi più di un milione di entrate in Austria e in Germania.",,,,,,,,,,
GROUNDING–DIELETZTENTAGEDERSWISSAIR.synopsis,"Les derniers jours de Swissair, la célèbre terre du 2 Octobre 2001 et tout ce qui a conduit à cette catastrophe.","Gli ultimi giorni della Swissair, il famoso grounding del 2 ottobre 2001 e tutto ciò che ha condotto a questa catastrofe.",,,,,,,,,,
EINSCHWEIZERNAMENSNÖTZLI.synopsis,"Coproductions suisses entre le plus de succès, cette comédie Stars Le célèbre acteur suisse-allemand Walter Roderer.","Tra le coproduzioni svizzere di maggior successo, questa commedia ha come protagonista il famoso attore svizzero-tedesco Walter Roderer.",,,,,,,,,,
ERNSTFALLINHAVANNA.synopsis,Un incident tragi-comique secoue l'ambassade de Suisse à La Havane. Un incident qui menace de créer une nouvelle crise diplomatique entre Cuba et les États-Unis.,Un incidente tragicomico fa tremare l’ambasciata svizzera a L'Avana. Un episodio che rischia di creare una nuova crisi diplomatica tra Cuba e gli Stati Uniti.,,,,,,,,,,
MORETHANHONEY.synopsis,Qu'arriverait-il si les abeilles venaient à disparaître? Un documentaire interroge sur l'avenir de ce bug et de notre planète.,Cosa accadrebbe se le api dovessero scomparire? Un documentario s’interroga sul futuro di questo insetto e del nostro pianeta.,,,,,,,,,,
HÖHENFEUER.synopsis,Un film muet et provocateur dans lequel elle joue une lutte entre modernité et tradition. Probablement les films les plus emblématiques de Fredi M. Murer et l'une des œuvres les plus fortes en Suisse.,Un cinema silenzioso e provocatore nel quale si svolge una lotta tra modernità e tradizione. Probabilmente il film più emblematico di Fredi M. Murer e una delle opere svizzere più forti.,,,,,,,,,,
DERVERDINGBUB.synopsis,"Le film retrace un chapitre sombre de l'histoire suisse: des milliers d'enfants arrachés à des parents et placés dans des foyers d'accueil, où ils ont été souvent utilisés comme «esclaves».","Il film ripercorre un capitolo buio della storia svizzera: migliaia di bambini strappati ai genitori e collocati in famiglie adottive, dove spesso venivano utilizzati come “schiavi”.",,,,,,,,,,
VITUS.synopsis,L'histoire d'un enfant à haut potentiel qui se rebelle contre l'avenir dictées par ses parents.,La storia di un bambino ad alto potenziale che si ribella al futuro dettato dai suoi genitori.,,,,,,,,,,
LADENTELLIÈRE.synopsis,"Vedettes un jeune Isabelle Huppert, il est l'un des films cultes du Nouveau Cinéma suisse. Revenu avec 500 milliers à Paris seul était le plus grand succès de Claude Goretta.","Interpretato da una giovane Isabelle Huppert, è uno dei film culto del Nuovo cinema svizzero. Con 500mila entrate nella sola Parigi è stato il più grande successo di Claude Goretta.",,,,,,,,,,
HANDYMAN.synopsis,"Après avoir été largué par sa petite amie, Mike se tourne vers un psychologue qui lui promet de trouver la femme de ses rêves.","Dopo essere stato lasciato dalla ragazza, Mike si rivolge a uno psicologo che gli promette di aiutarlo a trovare la donna dei suoi sogni.",,,,,,,,,,
KASSETTENLIEBE.synopsis,"Dans une rencontre chaos éclate après l'adoption d'un nouveau système électronique. Le jeu est dirigé par Rolf Lyssy, réalisateur de ""La fabbricasvizzeri"".","In un’agenzia matrimoniale scoppia il caos dopo l’adozione di un nuovo sistema elettronico. La commedia è diretta da Rolf Lyssy, regista di “I fabbricasvizzeri”.",,,,,,,,,,
GIULIASVERSCHWINDEN.synopsis,"Julia a 50 ans, mais difficile à accepter. Basé sur un livre par Martin Suter (écrivain et scénariste), le film est une comédie sur l'âge et de la jeunesse.","Giulia compie 50 anni, ma fatica ad accettarlo. Tratto da un libro di Martin Suter (scrittore e sceneggiatore), il film è una commedia sull’età e la giovinezza.",,,,,,,,,,
DASGEFRORENEHERZ.synopsis,"À partir d'un livre de Meinrad Inglin, le jeu débute avec la découverte du cadavre d'un vendeur de rue dans le haut d'une montagne. Le film est réalisé par Xavier Koller, a remporté un Oscar en 1991 pour ""Le voyage de l'espoir"".","Tratta da un libro di Meinrad Inglin, la commedia si apre col ritrovamento del cadavere di un venditore ambulante in cima a una montagna. Il film è diretto da Xavier Koller, premio Oscar nel 1991 per “Il viaggio della speranza”.",,,,,,,,,,
ACHTUNGFERTIGWK!.synopsis,"Un instructeur de yoga peut réformer le service militaire suisse et de son père? La comédie de Oliver Rihs a eu un succès particulier en Suisse alémanique, mais n'a pas pu se tailler une place à l'étranger.","Può un istruttore di yoga riformare il servizio militare svizzero e suo suocero? La commedia di Oliver Rihs ha avuto particolare successo nella Svizzera tedesca, senza però riuscire a ritagliarsi uno spazio all’estero.",,,,,,,,,,
BROTUNDSTEINE.synopsis,"Un paysan défend son existence contre l'arrivée d'une grande entreprise, qui veut enlever sa terre. Un soi-disant ""Heimatfilm"", centrée sur la défense de l'identité et du paysage.","Un contadino difende la sua esistenza contro l’arrivo di una grande società, che vuole portargli via il terreno. Un cosiddetto “Heimatfilm”, centrato sulla difesa dell’identità e del paesaggio.",,,,,,,,,,
DASBOOTISTVOLL.synopsis,"Nominé aux Oscars et lauréat d'un ours à Berlin, le film de Markus Imhoof posé des questions sur le rôle de la Suisse pendant la Seconde Guerre mondiale et en particulier sur la décision de fermer toutes les frontières, a annoncé en Août 1942.","Candidato all'Oscar e vincitore di un Orso berlinese, il film di Markus Imhoof si interroga sul ruolo della Svizzera nella Seconda guerra mondiale e in particolare sulla decisione di chiudere tutte le frontiere, annunciata nell’agosto del 1942.",,,,,,,,,,
KOMIKER.synopsis,"Le comédien Roni Beck se cache dans une maison de retraite, où il continue à rêver d'une carrière réussie.","Il comico Roni Beck si nasconde in una casa per anziani, dove continua a sognare una carriera di successo.",,,,,,,,,,
DERSCHWARZETANNER.synopsis,"En 1941, pendant la Seconde Guerre mondiale, un agriculteur suisse refuse de suivre les ordres des autorités et de transformer les pâturages en terres agricoles.","Nel 1941, in piena Seconda guerra mondiale, un contadino svizzero si rifiuta di seguire gli ordini delle autorità e di trasformare i pascoli in terreni agricoli.",,,,,,,,,,
MANIMATTERWARUMSYTDIRSOTRUURIG?.synopsis,"Portrait de la célèbre chanteuse suisse Mani Matter, présentée à travers des images et des témoignages de membres de la famille d'archives.","Ritratto del famoso cantante svizzero Mani Matter, presentato attraverso materiale d’archivio e testimonianze di famigliari.",,,,,,,,,,
SENNENTUNTSCHI.synopsis,Les autels et retourne à la poussière (peut-être): l'histoire mouvementée de Michael Steiner et son film est un chapitre emblématique du cinéma suisse. Le film est inspiré par l'histoire de l'aberration sexuelle situé dans les Alpes.,Dagli altari alla polvere e ritorno (forse): la travagliata storia di Michael Steiner e del suo film è un capitolo emblematico di cinema svizzero. La pellicola s'ispira al racconto di un'aberrazione sessuale ambientata nell'arco alpino.,,,,,,,,,,
JONASQUIAURA25ANSENLAN2000.synopsis,"Un autre symbole de la «nouvelle vague» en Suisse, le film d'Alain Tanner illustre avec humour et sensibilité les sentiments et les rêves de la génération de '68. Dans la première année de distribution, il a été vu par plus de deux millions de spectateurs.","Altro simbolo della “nouvelle vague” svizzera, il film di Alain Tanner illustra con umorismo e sensibilità gli stati d’animo e i sogni della generazione del ’68. Nel primo anno di diffusione è stato visto da oltre due milioni di spettatori.",,,,,,,,,,
graphic.title,Les 25 plus grands succès du cinéma suisse,I 25 più grandi successi del cinema svizzero,,,,,,,,,,
graphic.subtitle,Nombre cumulé d'entrées au cinéma en Suisse des blockbusters suisses en fonction de l'année de production. La taille des bulles est proportionnelle au score du films sur IMDb.com. Déplacez votre curseur sur un bulle pour en savoir plus sur un film. Cliquez sur une bulle pour voir un extrait du film (en langue originale).,"Numero di entrate registrate nei cinema svizzeri, a seconda dell'anno di produzione. La dimensione della bolla è proporzionale alla nota su IMDb. Spostate il cursore su una bolla per saperne di più su un film. Cliccate sulla bolla per vedere il trailer (in lingua originale).",,,,,,,,,,
source,source,Fonte,,,,,,,,,,
source.label,Office fédéral de la statistique et ProCinema,Ufficio federale di statistica e ProCinema,,,,,,,,,,
source.link,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,,,,,,,,,,,
source2.label,Internet movie database,Internet movie database,,,,,,,,,,
source2.link,http://www.imdb.com,,,,,,,,,,,
director.cat,réalisateur,regista,,,,,,,,,,
genre.cat,genre,genere,,,,,,,,,,
comedy.type,comédie,commedia,,,,,,,,,,
drama.type,drame,drammatico,,,,,,,,,,
comedydrama.type,comédie dramatique,commedia drammatica,,,,,,,,,,
documentary.type,documentaire,documentario,,,,,,,,,,
horrormystery.type,horreur/mystère,horror,,,,,,,,,,
family.type,famille,per tutti,,,,,,,,,,
clickToHide,(cliquez pour masquer),,,,,,,,,,,
language.cat,langue,lingua,,,,,,,,,,
ger.type,allemand,tedesco,,,,,,,,,,
fre.type,français,francese,,,,,,,,,,
year.cat,année,anno,,,,,,,,,,
admissions.cat,entrées,entrate,,,,,,,,,,
imdb.cat,note IMDb,nota IMDb,,,,,,,,,,
ylab.label,Entrées (en milliers),Entrate (in migliaia),,,,,,,,,,
trailer,Extrait video ou bande annonce (en langue originale),,,,,,,,,,,
