code,FR,IT,DE,EN,PT,AR,ES,RU,JA,ZH
DIESCHWEIZERMACHER.synopsis,Quel fromage met-on dans la fondue? Faites-vous du ski? Une comédie satirique sur les épreuves auxquelles sont soumis les candidats à la naturalisation dans la Suisse des années 70.,Che formaggio si mette nella fondue? Pratica lo sci? Una commedia satirica racconta le peripezie con le quali sono confrontati i candidati alla naturalizzazione nella Svizzera degli anni Settanta.,,,Qual queijo é utilizado no fondue? Você esquia? A comédia satírica narra as vicissitudes enfrentadas pelos candidatos à naturalização na Suíça dos anos 1970.,,,"Кинофильм «Как стать швейцарцем» является без сомнения самым популярным швейцарским фильмом всех времен. Затронув нерв времени и поставив вопрос, который актуален для любой страны и даже семьи (как относиться к пришлым, с какого момента и на основе каких критериев «чужой» становится «своим»), эта кинокартина остается актуальной и десятки лет спустя после премьеры.",,
ACHTUNGFERTIGCHARLIE!.synopsis,,"Antonio Carrera sta per sposare la figlia di un mafioso, quando l’esercito viene a prelevarlo.",,,Antonio Carrera vai se casar com a filha de um mafioso quando o exército bem buscá-lo.,,,"Что делать, когда тебя отрывают от любимой невесты и из-под венца отправляют в армию, постигать основы военной службы в типичной швейцарской учебке? Очень просто: надо вести себя так, чтобы начальники, отчаявшись сделать из тебя солдата, приняли решения о твоем комиссовании и направлении домой «по причине беспробудного идиотизма». План был, как всегда, гениален, если бы не капитан Франц Райкер (Franz Reiker, в исполнении выдающегося швейцарского комика Марко Рима), который «не знает слов любви» и вообще шутить не расположен. ",,
DIEHERBSTZEITLOSEN.synopsis,,"In un villaggio conservatore dell’Emmental, quattro anziane decidono di aprire un negozio di biancheria intima di lusso, creando non poco scompiglio nella comunità.",,,"Uma aldeia conservadora no Emmental , quatro idosos decidem abrir uma loja de lingerie de luxo, criando uma grande celeuma na comunidade.",,,"«Неувядаемые», 2006 г, фильм Беттины Оберли (Bettina Oberli) в жанре трагикомедии на основе сценария, написанного Б. Оберли вместе с писательницей Сабиной Поххаммер (Sabine Pochhammer). После смерти своего мужа пожилая владелица небольшого магазинчика в глухой швейцарской провинции решает, что ей самой еще рано готовится к переселению на тот свет, а потому, при поддержке своих товарок-одногодок, она открывает в деревне магазин сексуального женского белья.",,
MEINNAMEISTEUGEN.synopsis,,"Tratto da un libro per bambini, il film racconta la fuga di quattro ragazzi alla ricerca di un tesoro. Un’avventura che mette in luce il valore dell’amicizia e il difficile rapporto tra figli e genitori.",,,"Inspirado em um livro infantil, o filme conta a fuga de quatro meninos em busca do tesouro. Uma aventura que destaca o valor da amizade e as relações difíceis entre pais e filhos.",,,"Фильм «Меня зовут Ойген» был снят в 2005 году швейцарским режиссером Михаэлем Штайнером (Michael Steiner) на основе классического одноименного романа Клауса Шеделина (Klaus Schädelin). В центре фильма четверка неразлучных друзей проказников, одному из которых скоро предстоит отправиться учиться в интернат. А в это время им в руки попадает таинственная карта, на которой отмечен клад…",,
LESPETITESFUGUES.synopsis,,"Emblema del Nuovo cinema svizzero, racconta la sete di libertà di Pipe, bracciante in una fattoria. La critica di allora lo aveva definito “il film più euforico, impertinente e deliziosamente liberatore” della stagione.",,,"Obra clássica do Cinema Novo Suíço conta a história da liberdade de Pipe, um trabalhador em uma fazenda. Os críticos da época consideraram-no ""o filme mais eufórico, atrevido e libertador"" da temporada.",,,"Снят в 1979 году режиссером Ивом Ирсаном (Yves Yersin). В центре образ пожилого крестьянина Пипе (Pipe), который покупает себе мопед, учится на нем ездить, выигрывает мотокросс и на премию покупает фотокамеру, при помощи которой он начинает изучать окружающий мир, такой, казалось бы, знакомый. ",,
SCHELLENURSLI.synopsis,,"Tratto da una fiaba per bambini - tradotta in nove lingue - il film racconta le avventure del piccolo Ursli tra le montagne svizzere, alla ricerca di un campanaccio.",,,Inspirado em um conto infantil - traduzido em nove línguas - o filme narra as aventuras do pequeno Ursli nas montanhas suíças em busca de um sino.,,,"Экранизация культовой швейцарской детской книжки о подростке, поставившем перед собой цель во что бы то ни стало добыть из высокогорной избушки пастуха самый большой коровий колокольчик в деревне, чтобы встать во главе шествия, традиционно устраиваемого в кантоне Граубюнден на празднике прощания с зимой «Chalandamarz». Классический сюжет взросления и социальной инициации, реализованный на швейцарских реалиях. ",,
GROUNDING–DIELETZTENTAGEDERSWISSAIR.synopsis,,"Gli ultimi giorni della Swissair, il famoso grounding del 2 ottobre 2001 e tutto ciò che ha condotto a questa catastrofe.",,,Os últimos dias da companhia aérea Swissair antes da decretação de falência em 2 de Outubro de 2001.,,,"Как получилось, что швейцарский национальный авиаперевозчик, компания «Свиссэйр», неожиданно оказался банкротом? Кто виноват в этом: банкиры, политики, руководство самой компании? Необычный для швейцарского кино самый настоящий экономико-политический триллер-блокбастер, не отпускающий до самого конца. ",,
EINSCHWEIZERNAMENSNÖTZLI.synopsis,,"Tra le produzioni svizzere di maggior successo, questa commedia ha come protagonista il famoso attore svizzero-tedesco Walter Roderer, che ricopre il ruolo di un contabile svizzero impiegato da 26 anni in Germania.",,,"Um dos bem sucedidos filmes suíços: comédia estrelada pelo famoso ator suíço-alemão Walter Roderer, que interpreta o papel de um contador suíço empregada por 26 anos na Alemanha.",,,"Вот уже 26 лет скромный бухгалтер Йозеф Нётцли (Josef Nötzli) работает в одной и той же компании. Случайно попавшее ему в руки рекомендательное письмо министра, предназначавшееся совсем для другого сотрудника, неожиданно возносит его вверх по карьерной лестнице. Что сделает маленький швейцарский человек со случайно доставшейся ему властью? ",,
ERNSTFALLINHAVANNA.synopsis,,Un incidente tragicomico fa tremare l’ambasciata svizzera a L'Avana. Un episodio che rischia di creare una nuova crisi diplomatica tra Cuba e gli Stati Uniti.,,,Um incidente tragicômico sacode a Embaixada suíça em Havana e ameaça criar uma nova crise diplomática entre Cuba e os Estados Unidos.,,,"Штефан Бальзигер (Stefan Balsiger) работает в консульском отделе швейцарского посольства на Кубе и занимается скучными визовыми и пенсионными делами. Его начальник, посол Эрнст Мюллер (Ernst O. Müller), уезжает на ежегодное совещание послов в Берн. Пользуясь моментом, Штефан Бальзигер выдает себя, разговаривая с журналистской из Швейцарии Беа Грабер (Bea Graber), за посла, в то время как на его горизонте начинают сгущаться тучи: грядет визит в Гавану американского сенатора, и в ситуации, когда Швейцария представляет на Кубе интересы Вашингтона. Неприятности запрограммированы. ",,
MORETHANHONEY.synopsis,,Cosa accadrebbe se le api dovessero scomparire? Un documentario s’interroga sul futuro di questo insetto e del nostro pianeta.,,,O que acontece se as abelhas desaparecessem? O documentário interroga sobre o futuro do inseto e do nosso planeta.,,,"«Больше, чем мед» («More than Honey»), документальный фильм швейцарского режиссера Маркуса Имхофа (Markus Imhoof), снятый в 2012 году и посвященный проблеме вымирания пчел по всему свету, от Калифорнии до Китая. ",,
HÖHENFEUER.synopsis,,Un cinema silenzioso e provocatore che racconta di un amore tra fratello e sorella e di una lotta tra modernità e tradizione. Probabilmente il film più emblematico di Fredi M. Murer e una delle opere svizzere più forti.,,,Um filme mudo e provocante que conta a história de um amor entre irmão e irmã e de uma luta entre modernidade e a tradição. Provavelmente um dos filmes mais emblemáticos de Fredi M. Murer.,,,"«Огни на вершинах» («Höhenfeuer») – снятый в 1985 году фильм швейцарского режиссера Фреди Мурера (Fredi M. Murer), несколько раз избиравшийся во время опросов «лучшим швейцарским фильмом всех времен». Внимательная и неторопливая камера следует за швейцарской семьей, живущей в отдаленном горном регионе Швейцарии.",,
DERVERDINGBUB.synopsis,,"Il film ripercorre un capitolo buio della storia svizzera: migliaia di bambini strappati ai genitori e collocati in famiglie adottive, dove spesso venivano utilizzati come “schiavi”.",,,"O filme traça um capítulo negro da história da Suíça: milhares de crianças tirada dos pais e colocadas em lares adotivos, onde foram usados frequentemente como ""escravos"".",,,"«Приемный фильм» («Der Verdingbub»), художественный фильм режиссера Маркуса Имбодена (Markus Imboden), снятый в 2011 году. Действие фильма происходит в 1950-х гг. в регионе Эмменталь, кантон Берн, в его центре судьбы двух крестьянских детей, отданных своими нищими родителями «в люди». ",,
VITUS.synopsis,,La storia di un bambino ad alto potenziale che si ribella al futuro dettato dai suoi genitori.,,,A história de uma criança de alto potencial que se rebela contra o futuro ditado pelos pais.,,,"«Витус» («Vitus»), снятый в 2005 году еще один фильм режиссера Фреди Мурера с участием великого швейцарского актера Бруно Ганца. В центре фильма история подростка Витуса, который обладает музыкальным талантом, не замечаемым родителями. Однажды его просят сыграть гостям на фортепиано и этот вечер круто меняет всю его жизнь. ",,
LADENTELLIÈRE.synopsis,,"Interpretato da una giovane Isabelle Huppert, è uno dei film culto del Nuovo cinema svizzero. Con 500mila entrate nella sola Parigi è stato il più grande successo di Claude Goretta.",,,"Estrelado pela jovem atriz Isabelle Huppert, é um dos mais conhecidos filmes do chamado Novo Cinema Suíço. Um dos maiores sucessos de Claude Goretta.",,,«Кружевница» (фр. La Dentellière) — фильм швейцарского режиссёра Клода Горетта. Экранизация одноимённого романа французского писателя Паскаля Лене.,,
HANDYMAN.synopsis,,"Dopo essere stato lasciato dalla ragazza, Mike si rivolge a uno psicologo che gli promette di aiutarlo a trovare la donna dei suoi sogni.",,,"Depois de ser abandonado pela namorada, Mike procura um psicólogo que promete ajudá-lo a encontrar a mulher dos seus sonhos.",,,"Майк (эту роль исполняет Марко Рима / Marco Rima) работает в Цюрихе на музыкальной фирме и не может никак найти подходящую спутницу жизни. Психолог Грегор (роль Оливера Кориттке / Oliver Korittke) из Берлина тоже находится в кризисе, потому что издательство требует от него скорее сдать рукопись нового руководства по счастливой семейной жизни. Грегор обещает Майку помочь найти идеальную жену, в обмен на его согласие стать прообразом для требуемого руководства. ",,
KASSETTENLIEBE.synopsis,,"In un’agenzia matrimoniale scoppia il caos dopo l’adozione di un nuovo sistema elettronico. La commedia è diretta da Rolf Lyssy, regista di “I fabbricasvizzeri”.",,,"Em uma agência matrimonial o caos irrompe após a adopção de um novo sistema eletrônico. O filme é dirigido por Rolf Lyssy, diretor de ""Schweizermacher"".",,,"Комедийный фильм Рольфа Лисси, снятый в 1981 году: брачное агентство пытается внедрять у себя новейшие на тот момент электронные средства информации и коммуникации, что не может не завершиться полным хаосом. ",,
GIULIASVERSCHWINDEN.synopsis,,"Giulia compie 50 anni, ma fatica ad accettarlo. Tratto da un libro di Martin Suter (scrittore e sceneggiatore), il film è una commedia sull’età e la giovinezza.",,,"Giulia tem 50 anos, mas tem dificuldades de aceitar a idade. Baseado em um livro de Martin Suter, o filme é uma comédia sobre a idade e juventude.",,,"«Джулия исчезает» («Giulias Verschwinden»), швейцарская комедия о старости и молодости и о том, что возраст любви не помеха. Снят на основе сценария известного швейцарского писателя Мартина Суттера (Martin Suter) режиссером Кристофом Шаубом (Christoph Schaub). Премьера состоялась в 2009 году на международном кинофестивале в Локарно. ",,
DASGEFRORENEHERZ.synopsis,,"Tratta da un libro di Meinrad Inglin, la commedia si apre col ritrovamento del cadavere di un venditore ambulante in cima a una montagna. Il film è diretto da Xavier Koller, premio Oscar nel 1991 per “Il viaggio della speranza”.",,,"Baseado em um livro de Meinrad Inglin, a comédia começa com a descoberta do cadáver de um vendedor de rua no topo de uma montanha. O filme é dirigido por Xavier Koller, vencedor do Oscar em 1991 por ""Reise der Hoffnung"".",,,"Фильм «Das gefrorene Herz» («Лед в сердце») снят в 1979 году Ксавьером Коллером (Xavier Koller) и повествует о том, как поссорились две благополучные швейцарские деревни. Причина проста и банальна: невесть откуда взявшийся бродяга берет и помирает прямо на границе двух общин. Вопрос – чей бюджет должен взять на себя расходы по организации похорон никому не известного человека? ",,
ACHTUNGFERTIGWK!.synopsis,,"Può un istruttore di yoga riformare il servizio militare svizzero e suo suocero? La commedia di Oliver Rihs ha avuto particolare successo nella Svizzera tedesca, senza però riuscire a ritagliarsi uno spazio all’estero.",,,"Um instrutor de ioga consegue reformar o serviço militar suíço e seu sogro? A comédia de Oliver Rihs fez sucesso na Suíça de língua alemã, mas não conseguiu o mesmo no exterior.",,,"«Всем строиться или Армейский пирог – 2» («Achtung, fertig, WK!»): снятое в 2013 году режиссером Оливером Рисом (Oliver Rihs) продолжение более чем успешной первой части комедийной дилогии «Армейский пирог». Будучи типичным хипстером, Алекс Штюсси (Alex Stüssi) в свое время «откосил» от армии, ссылаясь на свои мнимые болезни и мнимую же гомосексуальность. Пять лет спустя он женится на дочери уже знакомого нам «вояки» Франца Райкера. Денег у пары на собственный дом нет, но Франц предлагает им свой дом с одним условием: Алекс должен пройти-таки курс молодого бойца в его части, над которой висит угроза расформирования. ",,
BROTUNDSTEINE.synopsis,,"Un contadino difende la sua esistenza contro l’arrivo di una grande società, che vuole portargli via il terreno. Un cosiddetto “Heimatfilm”, centrato sulla difesa dell’identità e del paesaggio.",,,Um camponês defende sua existência contra a chegada de uma grande empresa que quer tirá-lo das suas terras. Filme centrado na defesa da identidade.,,,"«Хлеб и камни» («Brot und Steine»), художественный фильм, снятый в 1979 году Лизелоттой Пульвер (Liselotte Pulver) и Зигфридом Штайнером (Sigfrit Steiner) на тему столкновения традиционной деревенской Швейцарии с новым миром международных фирм и концернов. ",,
DASBOOTISTVOLL.synopsis,,"Candidato all'Oscar e vincitore di un Orso berlinese, il film di Markus Imhoof si interroga sul ruolo della Svizzera nella Seconda guerra mondiale e in particolare sulla decisione di chiudere tutte le frontiere, annunciata nell’agosto del 1942.",,,"Indicado ao Oscar e vencedor de um prêmio no Festival de Berlim, o filme de Markus Imhoof questiona o papel da Suíça na Segunda Guerra Mundial e, em particular, a decisão de fechar todas as fronteiras em agosto de 1942.",,,"Фильм «Места в лодке больше нет» («Das Boot ist voll») снят режиссером Маркусом Имхофом (Markus Imhoof) по одноименному роману швейцарского писателя Альфреда Хёслера (Alfred A. Häsler). 1942 год, Швейцария закрывает границы, отгораживаясь от Европы, погруженной в пучину войны. Шесть беженцев хотят проникнуть в Швейцарию. Кто из них получит право остаться? Кому придется покинуть мирную страну?",,
KOMIKER.synopsis,,"Il comico Roni Beck si nasconde in una casa per anziani, dove continua a sognare una carriera di successo.",,,"O comediante Roni Beck se esconde em um asilo de idosos, onde continua a sonhar com uma carreira de sucesso.",,,"«Комедиант» («Komiker»), фильм, снятый в 2000 году режиссером Маркусом Имбоденом (Markus Imboden). Рони Бек (Roni Beck) является безуспешным актером-юмористом. Денег у него нет и поэтому он тайно селится у своей матери в доме престарелых. Директор дома быстро разоблачает незваного гостя и предлагает ему, в обмен на кров и питание, поработать санитаром. ",,
DERSCHWARZETANNER.synopsis,,"Nel 1941, in piena Seconda guerra mondiale, un contadino svizzero si rifiuta di seguire gli ordini delle autorità e di trasformare i pascoli in terreni agricoli.",,,"Em 1941, durante a Segunda Guerra Mundial, um fazendeiro suíço se recusa a seguir as ordens das autoridades e de transformar pastos em terras agrícolas.",,,"«Битва за урожай или Черный Таннер» («Der Schwarze Tanner»), фильм Ксавьера Коллера, снятый в 1986 году. Швейцария, 1942 год, мир погружен в войну, нейтральная Конфедерация сталкивается с проблемой обеспечения граждан продовольствием. Правительство провозглашает «битву за урожай» и призывает частных фермеров принять участие в этом проекте. Большинство выступает в поддержку правительства, но есть и такие, как Черный Таннер, которые начинают сопротивляться. ",,
MANIMATTERWARUMSYTDIRSOTRUURIG?.synopsis,,"Ritratto del famoso cantante svizzero Mani Matter, presentato attraverso materiale d’archivio e testimonianze di famigliari.",,,"Documentário sobre o famoso cantor suíço Mani Matter, apresentado através de imagens de arquivo e depoimentos de membros da família.",,,"«Мани Маттер: почему вы так печальны?» («Mani Matter – Warum syt dir so truurig?»): самый успешный в прокате швейцарский документальный фильм, посвященный жизни и творчеству трагически погибшего в 1972 году культового швейцарского барда Мани Маттера, снят в 2002 году Фридрихом Капеллером (Friedrich Kappeler). ",,
SENNENTUNTSCHI.synopsis,,Dagli altari alla polvere e ritorno (forse): la travagliata storia di Michael Steiner e del suo film è un capitolo emblematico di cinema svizzero. La pellicola s'ispira al racconto di un'aberrazione sessuale ambientata nell'arco alpino.,,,A história conturbada de Michael Steiner e seu filme é um capítulo emblemático do cinema suíço. O filme é inspirado no conto de uma aberração sexual ambientada nos Alpes.,,,"«Пастушья кукла» («Sennentuntschi), снятый в 2010 году в жанре мистического триллера фильм Михаэля Штайнера (Michael Steiner) на основе старой альпийской легенды о том, как в свое время пастухи, проводя одинокие месяцы высоко в горах, мастерили себе для удовлетворения своих мужских потребностей специальных «кукол» из сена и глины. И вот одна из них ожила несколько веков спустя и горит жаждой отмщения. ",,
JONASQUIAURA25ANSENLAN2000.synopsis,,"Altro simbolo della “nouvelle vague” svizzera, il film di Alain Tanner illustra con umorismo e sensibilità gli stati d’animo e i sogni della generazione del ’68. Nel primo anno di diffusione è stato visto da oltre due milioni di spettatori.",,,,,,,,
graphic.title,Les 25 plus grands succès du cinéma suisse 1976 - 2015,I 25 più grandi successi del cinema svizzero 1976 - 2015,,,Os 25 maiores sucessos do cinema suíço de 1976 a 2015,,,25 самых успешных швейцарских фильмов,,
graphic.subtitle,"Nombre cumulé d'entrées au cinéma en Suisse en fonction de l'année de production. La taille des bulles est proportionnelle au score du films sur IMDb.com. Déplacez votre curseur sur un bulle pour en savoir plus sur un film. Cliquez sur une bulle pour voir un extrait du film (en langue originale). Note: pour définir si un film est suisse, les normes européenes se bassant sur le pays de production majoritaire ont été utilisées.","Numero di entrate* registrate nei cinema svizzeri, a seconda dell'anno di produzione. La dimensione della bolla è proporzionale alla nota su IMDb. Spostate il cursore su una bolla per saperne di più su un film. Cliccate sulla bolla per vedere uno estratto del film o il trailer (in lingua originale). Nota: sono presi in considerazione solo i film 100% svizzeri o le coproduzioni maggioritarie svizzere, in conformità con le norme statistiche europee.",,,"Número de entradas pagas nos cinemas suíços, de acordo com o ano de produção. O tamanho da bolha é proporcional à nota no IMDb. Mova o cursor sobre uma bolha para saber mais sobre um filme. Clique na bolha para ver um trecho do filme ou o trailer (na língua original). Nota: são levados em conta apenas o filme 100% suíço ou com uma maioria de co-produção suíça, de acordo com as normas estatísticas europeias.
",,,"Отражено совокупное количество походов в кино в Швейцарии на данный фильм в соответствии с годом выпуска. Размер окружности пропорционален рейтингу фильма на сайте IMDb.com. Наведите курсор на окружность, чтобы узнать больше о фильме. Нажмите на окружность, чтобы увидеть трейлер фильма на языке оригинала. Примечание: некоторые фильмы являются совместным производством, поэтому швейцарским фильм считается только в случае, если большая часть работ по его производству происходила на территории Швейцарии.",,
source,source,Fonte,,,fonte,,,Источник,,
source.label,"Office fédéral de la statistique, ProCinema","Ufficio federale di statistica, ProCinema","Ufficio federale di statistica, ProCinema",,"Departamento Federal de Estatísticas, ProCinema",,,Федеральное ведомство статистики Швейцарии (BfS),,
source.link,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/de/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html,http://www.bfs.admin.ch/bfs/portal/fr/index/themen/16/02/01/dos/03/05.html
source2.label,Internet movie database,Internet movie database,Internet movie database,,Internet movie database,,,«Интернет-база кинофильмов»,,
source2.link,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com,http://www.imdb.com
director.cat,réalisateur,regista,Regie,,diretor,,,режиссер,,
genre.cat,genre,genere,Filmgenre,,gênero,,,жанр,,
comedy.type,comédie,commedia,Komödie,,comédia,,,комедия,,
drama.type,drame,drammatico,Drama,,drama,,,драма,,
comedydrama.type,comédie dramatique,commedia drammatica,Dramödie,,cométida dramática,,,трагикомедия,,
documentary.type,documentaire,documentario,Dokumentarfilm,,documentário,,,документальный фильм,,
horrormystery.type,horreur/mystère,horror,Horrorfilm,,terror,,,ужасы,,
family.type,famille,per tutti,Familienfilm,,filme para famílias,,,для семейного просмотра,,
clickToHide,(cliquez pour masquer),(Cliccate per nascondere uno o più filoni),(Klicken zum Verbergen oder Einblenden),,(clique aqui para esconder),,,"(Нажмите, чтобы скрыть)",,
language.cat,langue,lingua,Sprache,,idioma,,,язык,,
ger.type,allemand,tedesco,Deutsch,,alemão,,,немецкий,,
fre.type,français,francese,Französisch,,francês,,,французский,,
year.cat,année,anno,Jahr,,ano,,,год,,
admissions.cat,entrées,entrate,Eintritte,,entradas,,,количество зрителей,,
imdb.cat,note IMDb,nota IMDb,Bewertung IMDb,,nota do IMDb,,,рейтинг IMDb,,
ylab.label,Entrées (en milliers),Entrate (in migliaia),Eintritte (in Tausend),,entradas (em milhares),,,зрители (в тыс.),,
trailer,Extrait video ou bande annonce (en langue originale),Estratto del film o trailer (in lingua originale),Filmausschnitt oder Trailer (in Originalsprache),,Trecho do filme ou trailer (em idioma original),,,Извлечь видео или трейлер (на языке оригинала),,
footnote,"* Tous les cinémas en Suisse (cinémas open air inclus, festivals de film et cinémas érotiques non inclus)","* Tutti i cinema in Svizzera (inclusi gli open air, ma non i festival)","* Alle Kinos in der Schweiz (inkl. Openairs, aber ohne Festivals)",,* Todos os cinemas da Suíça (incluíndo open air e festivais de filme. Cinema erótico não incluido),,,"*Учтены все кинотеатры Швейцарии (без показов в формате OpenAir, без фестивальных показов и без порно-кинотеатров)",,
